,accuracy,loss,val_accuracy,val_loss
0,0.0,6.673921585083008,0.0,2.456447124481201
1,0.125,3.6330456733703613,0.0,3.810420274734497
2,0.125,2.0422441959381104,0.0,7.330282211303711
3,0.25,2.1330018043518066,0.0,11.298321723937988
4,0.5,1.0639625787734985,0.0,17.056472778320312
5,0.75,0.6408830881118774,0.0,24.723665237426758
6,0.625,0.9004484415054321,0.0,31.496374130249023
7,0.75,0.5797454714775085,0.0,38.091739654541016
8,0.75,0.5902746915817261,0.0,44.76068878173828
9,0.75,0.6979614496231079,0.0,50.85664749145508
10,0.75,0.6179506778717041,0.0,56.47121810913086
11,0.75,0.40442126989364624,0.0,62.51911163330078
12,0.875,0.4870547950267792,0.0,68.08064270019531
13,0.625,1.3598005771636963,0.0,70.91410064697266
14,0.75,0.9922870993614197,0.0,77.5604248046875
15,0.75,0.8573155403137207,0.0,81.36180114746094
16,0.875,0.1918978989124298,0.0,83.34972381591797
17,1.0,0.059641409665346146,0.0,84.7161865234375
18,1.0,0.09072768688201904,0.0,86.26879119873047
19,1.0,0.0452023409307003,0.0,86.85665893554688
